id,content
1,"风中飘着云做的雨，对面有个思念的你。我在雨中孤寂，想着我们浪漫的过去。雨打芭蕉是另外一种美丽，杜鹃啼血，声声呼唤你的归期
"
2,"思念在心中蔓延，想你千万遍，眼泪像珍珠断了线，世界因你而改变，把真爱播撒心田，把幸福种在指尖，拥抱情人节，等你回来心手相牵，拥抱你直到永远！
"
3,"都是你，害我失眠了；都是你，害我食之无味；都是你，害我做事错误频频；全都是你，害我生活彻底乱掉了。作为赔礼，罚你一辈子被我“监禁”，有何异议？
"
4,"手机响，短信到，看我说段数来宝：眼儿大，嘴儿小，长长腿儿很苗条；心儿善，手儿巧，孝敬老人很勤劳；业务精，技能高，领导欢喜拇指翘；你要问我这是谁，就是看短信的你――我想娶的宝！
"
5,"手机响了吗？短信到了吗？心儿慌了吗？脸儿红了吗？脚儿跑了吗？快点吧，投入到我的怀抱吧，我已经张开双臂等你了！
"
6,"天爱上了地，便有了大自然的空间；老鼠爱上猫，便有了猫和老鼠的动画片；狼爱上了羊，便有了披着羊皮的狼；我爱上了你，便有了美好的明天！
"
7,"偶然在路上遇到你，偶然乘坐同一辆车，偶然在同一家饭店吃饭，偶然跟你在商场碰面，偶然获得你的联系方式，偶然跟天天说地……那么多的偶然其实是你不知道的必然――我们在一起。
"
8,"男大当婚女大当嫁，夫妻双双传佳话；如今你已二十八，总当剩女为了啥？不如答应嫁给me，咱俩牵手来成家；成家咱俩二合一，恩恩爱爱笑哈哈。
"
9,"爱你的鼻，爱你的眼，爱你的嘴巴爱你的脸；借机表白别嫌烦，打开手机把短信看；爱你的话儿千千万，汇成仨字表心愿：我爱你！我知道，你肯定喜欢。
"
10,"清水在冰块的心里，微风在白云的心里，星星在长夜的心里，你在我的心里。虽然隔山隔水，相思没有距离，感觉到了吗？我的心时时与你在一起！想你！
"
11,"有一种情，穿越千年而亘古不便，化作春风般的温暖，落到你手机上，变成小小的文字，告诉你：亲爱的，很想你！
"
12,"每一个有星星的夜晚；念你在每一刻欢乐的时光；盼你在每一次想你的瞬间；爱你在每一秒呼吸的间隙……
"
